emp_no,first_name,last_name,to_date,title
10134,Diederik,Siprelle,9999-01-01,Senior Engineer
10138,Perry,Shimshoni,9999-01-01,Senior Engineer
10150,Zhenbing,Perng,9999-01-01,Senior Engineer
10153,Heekeun,Majewski,9999-01-01,Assistant Engineer
10157,Nigel,Aloisi,9999-01-01,Senior Engineer
10159,Serif,Buescher,9999-01-01,Senior Engineer
10160,Debatosh,Khasidashvili,9999-01-01,Senior Staff
10163,Karsten,Szmurlo,9999-01-01,Senior Staff
10166,Samphel,Siegrist,9999-01-01,Engineer
10183,Mechthild,Bonifati,9999-01-01,Staff
10194,Josyula,Hofmeyr,9999-01-01,Senior Staff
10196,Marc,Hellwagner,9999-01-01,Staff
10198,Pranav,Furedi,9999-01-01,Senior Engineer
10203,Steen,Escriba,9999-01-01,Senior Staff
10205,Mabhin,Leijenhorst,9999-01-01,Senior Engineer
10207,Girolamo,Anandan,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,9999-01-01,Senior Staff
10219,Genta,Kolvik,9999-01-01,Senior Staff
10224,Leon,Trogemann,9999-01-01,Senior Engineer
10228,Karoline,Cesareni,9999-01-01,Senior Staff
10230,Clyde,Vernadat,9999-01-01,Senior Staff
10233,Lein,Vendrig,9999-01-01,Senior Staff
10239,Nikolaos,Llado,9999-01-01,Staff
10240,Remko,Maccarone,9999-01-01,Engineer
10248,Frederique,Tempesti,9999-01-01,Senior Staff
10249,Marie,Boreale,9999-01-01,Senior Engineer
10258,Basil,Ishibashi,9999-01-01,Senior Engineer
10262,Mahendra,Maraist,9999-01-01,Staff
10272,Yishai,Cannane,9999-01-01,Staff
10281,Moty,Kusakari,9999-01-01,Senior Engineer
10282,Hercules,Benzmuller,9999-01-01,Engineer
10283,Kauko,Birjandi,9999-01-01,Senior Engineer
10284,Masali,Murrill,9999-01-01,Engineer
10295,Kristine,Velardi,9999-01-01,Senior Staff
10298,Dietrich,DuCasse,9999-01-01,Staff
10306,Heng,Kilgour,9999-01-01,Staff
10307,Nikolaos,Leaver,9999-01-01,Engineer
10322,Isamu,Dahlbom,9999-01-01,Senior Engineer
10325,Arunachalam,Badr,9999-01-01,Senior Staff
10326,Masali,Czap,9999-01-01,Staff
10328,Serenella,Kawashima,9999-01-01,Engineer
10333,Snehasis,Dymetman,9999-01-01,Senior Engineer
10340,Djelloul,Laventhal,9999-01-01,Senior Staff
10343,Dinah,Syrzycki,9999-01-01,Senior Engineer
10347,Pradeep,Kaminger,9999-01-01,Staff
10349,Oksana,Brodie,9999-01-01,Senior Staff
10353,Phule,Hammerschmidt,9999-01-01,Senior Staff
10355,Satyanarayana,Cochrane,9999-01-01,Staff
10356,Vasilis,Standera,9999-01-01,Senior Staff
10358,Qunsheng,Tagansky,9999-01-01,Technique Leader
10364,Nakhoon,Dengi,9999-01-01,Senior Engineer
10367,Hyuckchul,Gini,9999-01-01,Senior Staff
10372,Anneli,Frijda,9999-01-01,Technique Leader
10377,Marl,Grospietsch,9999-01-01,Senior Engineer
10387,Parto,Wrigley,9999-01-01,Senior Staff
10388,Hironoby,Kaiser,9999-01-01,Staff
10389,Make,Peir,9999-01-01,Technique Leader
10396,Sibyl,Rahier,9999-01-01,Senior Engineer
10397,Irena,Reutenauer,9999-01-01,Technique Leader
10402,Volkmar,Ebeling,9999-01-01,Technique Leader
10404,Prodip,Rosti,9999-01-01,Senior Engineer
10407,Ulf,Siepmann,9999-01-01,Senior Staff
10413,Danel,Impagliazzo,9999-01-01,Senior Staff
10418,Candida,Porotnikoff,9999-01-01,Staff
10422,Greger,Rubsam,9999-01-01,Engineer
10426,Arunas,Luce,9999-01-01,Technique Leader
10429,Martien,Improta,9999-01-01,Senior Engineer
10432,Hisao,Tiemann,9999-01-01,Senior Staff
10433,Reuven,Dengi,9999-01-01,Engineer
10451,Bodh,Ranta,9999-01-01,Senior Engineer
10453,Tsvetan,Matzel,9999-01-01,Senior Staff
10463,Ung,Zaiane,9999-01-01,Staff
10477,Guoxiang,Trogemann,9999-01-01,Senior Engineer
10486,Amstein,Kossowski,9999-01-01,Senior Engineer
10494,Yakkov,Servieres,9999-01-01,Senior Engineer
10497,Pramod,Rabehasaina,9999-01-01,Senior Engineer
10499,Maik,Luft,9999-01-01,Senior Staff
10503,Dannz,Pell,9999-01-01,Engineer
10504,Xiong,Varker,9999-01-01,Staff
10509,Abdelwaheb,Riesenhuber,9999-01-01,Senior Staff
10512,Udi,Gihr,9999-01-01,Senior Staff
10517,Tiina,Speek,9999-01-01,Senior Staff
10522,Marke,Cesareni,9999-01-01,Senior Staff
10529,Ymte,Yetto,9999-01-01,Assistant Engineer
10531,Oguz,Gimbel,9999-01-01,Staff
10542,Yannis,Couchot,9999-01-01,Senior Engineer
10548,Ramalingam,Gunderson,9999-01-01,Senior Staff
10552,Kazuhito,Shiratori,9999-01-01,Senior Engineer
10564,Jianhao,Thisen,9999-01-01,Senior Engineer
10568,Gao,Poulakidas,9999-01-01,Staff
10586,Kirk,Vuskovic,9999-01-01,Senior Engineer
10593,Falguni,Kenevan,9999-01-01,Senior Engineer
10596,Sanjit,Coors,9999-01-01,Senior Staff
10603,Wayne,Restivo,9999-01-01,Staff
10610,Irena,Roccetti,9999-01-01,Engineer
10614,Gila,Ozeri,9999-01-01,Senior Engineer
10615,Keung,Delgrande,9999-01-01,Senior Staff
10623,Aleksander,Danlos,9999-01-01,Senior Engineer
10624,Sham,Gyorkos,9999-01-01,Technique Leader
10628,Krisda,Krogh,9999-01-01,Senior Engineer
10630,Bezalel,Katzenelson,9999-01-01,Engineer
10631,Inderjeet,Chaudhuri,9999-01-01,Engineer
10634,Nahid,Chepyzhov,9999-01-01,Senior Engineer
10636,Saeko,Porotnikoff,9999-01-01,Staff
10639,Pramod,Erol,9999-01-01,Senior Engineer
10641,Guozhong,Zucker,9999-01-01,Engineer
10642,Hirochika,Narlikar,9999-01-01,Engineer
10653,Otmar,Feinberg,9999-01-01,Senior Engineer
10667,Makato,Cusworth,9999-01-01,Senior Staff
10671,Parviz,Rebaine,9999-01-01,Senior Staff
10676,Valeri,Danley,9999-01-01,Engineer
10683,Guiseppe,Stranks,9999-01-01,Senior Engineer
10693,Berhard,Daescu,9999-01-01,Senior Staff
10696,Unal,Fendler,9999-01-01,Technique Leader
10702,Bader,Szemeredi,9999-01-01,Senior Engineer
10712,Uma,Koprowski,9999-01-01,Senior Engineer
10718,Adib,Rullman,9999-01-01,Senior Engineer
10726,Zita,Minakawa,9999-01-01,Senior Engineer
10734,Sachar,Erdi,9999-01-01,Engineer
10741,Sven,Huttel,9999-01-01,Senior Staff
10742,Shim,Wiegley,9999-01-01,Technique Leader
10745,Poorav,Ranze,9999-01-01,Senior Engineer
10749,King,Brendel,9999-01-01,Senior Engineer
10750,Roddy,Demeyer,9999-01-01,Technique Leader
10764,Yunming,Beetstra,9999-01-01,Senior Engineer
10767,Monique,Doering,9999-01-01,Staff
10768,Ishfaq,Candan,9999-01-01,Senior Engineer
10778,Selwyn,Merey,9999-01-01,Senior Staff
10791,Tadahiko,Sgarro,9999-01-01,Senior Engineer
10795,Supot,Naudin,9999-01-01,Senior Staff
10808,Chenxi,Leijenhorst,9999-01-01,Senior Engineer
10811,Ashish,Fortenbacher,9999-01-01,Engineer
10813,Shalesh,Shumilov,9999-01-01,Senior Staff
10814,Nidapan,Dymetman,9999-01-01,Senior Staff
10826,Arnd,Anandan,9999-01-01,Senior Engineer
10827,Willard,Danley,9999-01-01,Staff
10830,Fen,Fiebach,9999-01-01,Senior Staff
10831,Toong,Driscoll,9999-01-01,Technique Leader
10833,Krisda,Gecseg,9999-01-01,Technique Leader
10834,Huiqun,Rajcani,9999-01-01,Engineer
10835,Tomoyuki,Kermarrec,9999-01-01,Engineer
10836,Jianhua,Leivant,9999-01-01,Senior Staff
10844,Dipayan,Koprowski,9999-01-01,Engineer
10846,Tokuyasu,Serre,9999-01-01,Senior Engineer
10847,Theirry,Danley,9999-01-01,Senior Staff
10848,Fen,Bratsberg,9999-01-01,Senior Engineer
10849,Makato,Mayerwieser,9999-01-01,Engineer
10854,Jagoda,Nannarelli,9999-01-01,Engineer
10858,Kenroku,Gonthier,9999-01-01,Senior Engineer
10871,Aram,Gilg,9999-01-01,Staff
10872,Karoline,Speel,9999-01-01,Senior Staff
10873,Sukumar,Wegerle,9999-01-01,Staff
10878,Lakshmi,Deville,9999-01-01,Staff
10879,Muzhong,Chleq,9999-01-01,Senior Engineer
10882,Fun,Heuser,9999-01-01,Engineer
10883,Shimshon,Champarnaud,9999-01-01,Engineer
10885,Rayond,Cronau,9999-01-01,Senior Staff
10887,Lunjin,DeMori,9999-01-01,Senior Engineer
10900,Ferdinand,Prenel,9999-01-01,Senior Engineer
10906,Munehiro,Carrere,9999-01-01,Staff
10909,Georgi,Atchley,9999-01-01,Senior Engineer
10913,Narain,Thummel,9999-01-01,Staff
10920,Ronghao,Narahara,9999-01-01,Senior Staff
10921,Mara,Bahi,9999-01-01,Senior Engineer
10924,Hironoby,Atchley,9999-01-01,Senior Staff
10926,Leni,Eppinger,9999-01-01,Senior Engineer
10927,Gal,Scallan,9999-01-01,Senior Staff
10930,Arch,Minakawa,9999-01-01,Senior Engineer
10932,Avishai,Picci,9999-01-01,Senior Engineer
10936,Mountaz,Schicker,9999-01-01,Senior Staff
10942,Toshimitsu,Larfeldt,9999-01-01,Engineer
10943,Berna,Skafidas,9999-01-01,Senior Engineer
10944,Remko,Zyda,9999-01-01,Senior Engineer
10947,Gor,Usery,9999-01-01,Senior Staff
10949,Shigeichiro,Wroclawski,9999-01-01,Senior Staff
10956,Arno,Picel,9999-01-01,Engineer
10965,Eckart,Braunschweig,9999-01-01,Senior Staff
10969,Premal,Noriega,9999-01-01,Senior Engineer
10974,Muneo,Papsdorf,9999-01-01,Senior Engineer
10986,Masako,Schiper,9999-01-01,Technique Leader
10987,Flemming,Baezner,9999-01-01,Engineer
10988,Chinya,Deyuan,9999-01-01,Senior Engineer
10989,Sumali,Candan,9999-01-01,Senior Staff
10990,Shin,Foote,9999-01-01,Technique Leader
10996,Matk,Rahimi,9999-01-01,Senior Staff
11004,JoAnna,Decleir,9999-01-01,Senior Engineer
11009,Alper,Axelband,9999-01-01,Senior Staff
11012,Taegyun,Speckmann,9999-01-01,Staff
11019,Leon,Huttel,9999-01-01,Senior Engineer
11021,Srinidhi,Henders,9999-01-01,Staff
11027,Remzi,Cappello,9999-01-01,Senior Engineer
11031,Ottavia,Walstra,9999-01-01,Senior Staff
11032,Erez,Schaaf,9999-01-01,Staff
11037,Lansing,Maliniak,9999-01-01,Senior Engineer
11038,Jinya,Beidas,9999-01-01,Senior Staff
11042,Gou,Breugel,9999-01-01,Senior Engineer
11048,Jaques,Demke,9999-01-01,Senior Staff
11050,Elvis,Katiyar,9999-01-01,Senior Staff
11051,Przemyslawa,Erol,9999-01-01,Senior Engineer
11056,Palash,Speel,9999-01-01,Staff
11061,Pintsang,Erni,9999-01-01,Senior Staff
11064,Shawna,Vieri,9999-01-01,Senior Engineer
11066,Shaz,Langford,9999-01-01,Senior Staff
11070,Adib,Raney,9999-01-01,Senior Engineer
11071,Kwan,Sigstam,9999-01-01,Senior Engineer
11075,Karsten,Belinskaya,9999-01-01,Senior Engineer
11079,Piyush,Garigliano,9999-01-01,Senior Engineer
11081,Barry,Boyle,9999-01-01,Senior Staff
11083,Shimshon,Ducloy,9999-01-01,Senior Staff
11084,Greger,Senzako,9999-01-01,Senior Engineer
11085,Hailing,Thummel,9999-01-01,Senior Engineer
11087,Changho,Jayawardene,9999-01-01,Senior Engineer
11089,Conal,Henders,9999-01-01,Senior Staff
11091,Souichi,Ramsay,9999-01-01,Engineer
11092,Narain,Stamatiou,9999-01-01,Staff
11098,Arnd,Covnot,9999-01-01,Engineer
11100,Berna,Cochrane,9999-01-01,Senior Staff
11106,Aris,Iwayama,9999-01-01,Senior Engineer
11111,Udi,Zastre,9999-01-01,Assistant Engineer
11112,Boaz,Mukaidono,9999-01-01,Staff
11113,Shahab,Peng,9999-01-01,Senior Staff
11121,Vugranam,Kakkad,9999-01-01,Senior Engineer
11130,Xinyu,Menhoudj,9999-01-01,Senior Staff
11132,Kristin,Harnett,9999-01-01,Senior Engineer
11133,Nalini,Azulay,9999-01-01,Technique Leader
11134,Sachar,Rajcani,9999-01-01,Senior Engineer
11137,Hugh,Luca,9999-01-01,Engineer
11139,Bogdan,Homond,9999-01-01,Senior Staff
11143,Yongdong,Rosen,9999-01-01,Engineer
11144,Carrsten,Heinisuo,9999-01-01,Senior Staff
11146,Ishfaq,Masand,9999-01-01,Senior Staff
11147,Ayonca,Nitsch,9999-01-01,Engineer
11148,Zhanqiu,Botman,9999-01-01,Senior Staff
11158,Masaki,Hagimont,9999-01-01,Senior Engineer
11162,Kauko,Narlikar,9999-01-01,Senior Engineer
11168,Shmuel,Tetzlaff,9999-01-01,Senior Staff
11170,Minghong,Cannard,9999-01-01,Senior Engineer
11174,Akhilish,Milicia,9999-01-01,Engineer
11177,Chrisa,dAstous,9999-01-01,Senior Engineer
11180,Mitsuyuki,Bojadziev,9999-01-01,Senior Engineer
11181,Hausi,Cullers,9999-01-01,Engineer
11185,Aloys,Baezner,9999-01-01,Senior Staff
11186,Kshitij,Stasinski,9999-01-01,Senior Engineer
11189,Dante,Bodoff,9999-01-01,Senior Staff
11192,Apostol,Bahr,9999-01-01,Engineer
11197,Tadahiro,Fordan,9999-01-01,Senior Staff
11201,Jouko,Masaki,9999-01-01,Staff
11204,Diederik,Covnot,9999-01-01,Technique Leader
11207,Saeed,Gips,9999-01-01,Engineer
11208,Saniya,Valtorta,9999-01-01,Technique Leader
11211,Yurij,Rissland,9999-01-01,Senior Engineer
11213,Vugranam,Munoz,9999-01-01,Technique Leader
11217,Kellie,Mawatari,9999-01-01,Senior Engineer
11229,Gretta,Ramamoorthy,9999-01-01,Senior Engineer
11232,Hidefumi,Crelier,9999-01-01,Senior Staff
11233,Sanjit,Waschkowski,9999-01-01,Senior Engineer
11240,Kiam,Condotta,9999-01-01,Engineer
11243,Udi,Desikan,9999-01-01,Assistant Engineer
11249,Randi,Cyre,9999-01-01,Engineer
11251,Bezalel,Chinal,9999-01-01,Senior Staff
11253,Koldo,Pokrovskii,9999-01-01,Senior Engineer
11254,Danel,Rindone,9999-01-01,Staff
11258,Aris,Maccarone,9999-01-01,Senior Staff
11266,Florina,Rohrbach,9999-01-01,Senior Engineer
11267,Shaunak,Zaumen,9999-01-01,Senior Engineer
11268,Aimee,Petersohn,9999-01-01,Senior Engineer
11274,Masanao,Nicolson,9999-01-01,Staff
11275,Hitomi,Eppinger,9999-01-01,Senior Engineer
11289,Chuanti,Cherinka,9999-01-01,Senior Engineer
11290,Visit,Dredge,9999-01-01,Engineer
11292,Souichi,Sichman,9999-01-01,Senior Engineer
11294,Tru,Segond,9999-01-01,Senior Engineer
11295,Abdelkader,Lanzelotte,9999-01-01,Senior Staff
11296,Hironobu,Kenevan,9999-01-01,Senior Engineer
11301,Mingzeng,Oxenboll,9999-01-01,Senior Staff
11317,Shigeaki,Hagimont,9999-01-01,Senior Staff
11319,Pranas,Marrakchi,9999-01-01,Assistant Engineer
11320,Atilio,McAlpine,9999-01-01,Senior Staff
11322,Nathalie,Pocchiola,9999-01-01,Senior Engineer
11324,Kauko,Billingsley,9999-01-01,Senior Engineer
11325,Samphel,Rossi,9999-01-01,Engineer
11326,Munenori,Plesums,9999-01-01,Senior Engineer
11338,Kwangsub,Hanratty,9999-01-01,Senior Staff
11339,Flemming,Massonet,9999-01-01,Senior Engineer
11340,Aris,Bala,9999-01-01,Senior Engineer
11343,Susanne,Erez,9999-01-01,Senior Engineer
11347,Anneli,Jonsson,9999-01-01,Senior Engineer
11349,Yurii,Hammerschmidt,9999-01-01,Engineer
11360,Fen,Schach,9999-01-01,Senior Staff
11365,Toshimi,Shinomoto,9999-01-01,Engineer
11373,Yongmao,Keohane,9999-01-01,Senior Staff
11376,Valery,Suomi,9999-01-01,Senior Staff
11380,Kenroku,Pelc,9999-01-01,Senior Engineer
11385,Shiv,Ullian,9999-01-01,Engineer
11386,Alselm,Assaf,9999-01-01,Senior Engineer
11393,Junsik,Junot,9999-01-01,Senior Engineer
11396,Anneke,Servieres,9999-01-01,Engineer
11398,Oscar,Peir,9999-01-01,Senior Staff
11401,Huan,Merey,9999-01-01,Staff
11404,Bedrich,Borovoy,9999-01-01,Technique Leader
11406,Eberhardt,Gini,9999-01-01,Senior Staff
11410,Gro,Vendrig,9999-01-01,Engineer
11415,Sanjiv,Anido,9999-01-01,Engineer
11417,Anneli,Cyne,9999-01-01,Technique Leader
11418,Satosi,Cooley,9999-01-01,Senior Staff
11420,Tsutomu,Lalonde,9999-01-01,Senior Staff
11421,Josyula,Msuda,9999-01-01,Senior Engineer
11423,Guangming,Kopetz,9999-01-01,Staff
11425,Renee,Crelier,9999-01-01,Senior Engineer
11441,Marlo,Aingworth,9999-01-01,Senior Staff
11446,Naftali,Narahara,9999-01-01,Senior Engineer
11449,Kotesh,Asser,9999-01-01,Senior Engineer
11451,Eben,Rajaraman,9999-01-01,Senior Engineer
11452,Shigehito,Luby,9999-01-01,Senior Staff
11459,Duke,Suomi,9999-01-01,Senior Staff
11460,Mana,Maraist,9999-01-01,Senior Engineer
11469,Guttorm,Giaccio,9999-01-01,Senior Engineer
11474,Gennady,Akazan,9999-01-01,Engineer
11476,Manton,Yoshizawa,9999-01-01,Staff
11479,Shridhar,Pleszkun,9999-01-01,Staff
11503,Nathan,Picht,9999-01-01,Senior Engineer
11506,Rance,Picel,9999-01-01,Staff
11509,Aleksander,Feldhoffer,9999-01-01,Senior Engineer
11513,Otmar,Mahnke,9999-01-01,Senior Staff
11515,Ulf,Basawa,9999-01-01,Staff
11518,Jinxi,Oxman,9999-01-01,Senior Staff
11519,Halsur,Chinen,9999-01-01,Senior Staff
11523,Yuguang,Pezzoli,9999-01-01,Engineer
11524,Xiadong,Standera,9999-01-01,Senior Engineer
11527,Alagu,Boyle,9999-01-01,Staff
11528,Zito,Dolinsky,9999-01-01,Technique Leader
11531,Radhika,Motley,9999-01-01,Technique Leader
11533,Vitaly,Lorch,9999-01-01,Technique Leader
11537,DAIDA,Pehl,9999-01-01,Senior Staff
11540,Chanjung,Portugali,9999-01-01,Senior Engineer
11554,Subhash,Taubenfeld,9999-01-01,Staff
11555,Kotesh,Perfilyeva,9999-01-01,Senior Staff
11567,Teiji,Mitzlaff,9999-01-01,Senior Staff
11568,Martins,Fujisaki,9999-01-01,Senior Engineer
11573,Pranas,Hutton,9999-01-01,Senior Engineer
11575,Godehard,Plotkin,9999-01-01,Engineer
11577,Mayumi,Deyuan,9999-01-01,Senior Engineer
11581,Patricio,Rosenbaum,9999-01-01,Senior Engineer
11587,Shem,Zambonelli,9999-01-01,Senior Engineer
11589,Gina,Plessier,9999-01-01,Senior Engineer
11595,Takanari,Kamber,9999-01-01,Senior Staff
11596,Yannik,Gunderson,9999-01-01,Staff
11602,Somnath,Malabarba,9999-01-01,Senior Staff
11603,Herb,Swen,9999-01-01,Senior Staff
11606,Perry,Pepe,9999-01-01,Senior Staff
11607,Tomokazu,Foong,9999-01-01,Engineer
11615,Shem,Isaak,9999-01-01,Senior Staff
11616,Zhilian,Brendel,9999-01-01,Engineer
11624,Adil,Gammage,9999-01-01,Senior Engineer
11628,Fan,Malinowski,9999-01-01,Senior Engineer
11640,Valeri,Coorg,9999-01-01,Senior Engineer
11641,Chikako,Rothenberg,9999-01-01,Senior Engineer
11644,Sanjit,Zaiane,9999-01-01,Assistant Engineer
11646,Lobel,Rubsam,9999-01-01,Engineer
11647,Magy,Nitsche,9999-01-01,Senior Engineer
11649,Shen,Bernardinello,9999-01-01,Technique Leader
11660,Gill,Stenning,9999-01-01,Senior Staff
11664,Oksana,Brizzi,9999-01-01,Senior Staff
11667,Kristian,Marchegay,9999-01-01,Senior Staff
11673,Henk,Felder,9999-01-01,Technique Leader
11676,Valeri,Ferriere,9999-01-01,Engineer
11681,Fumitake,Benzmuller,9999-01-01,Senior Engineer
11684,Oksana,Gide,9999-01-01,Senior Staff
11690,Domenick,Raczkowsky,9999-01-01,Staff
11693,Hideo,Coorg,9999-01-01,Senior Engineer
11696,Dante,Rothe,9999-01-01,Senior Staff
11713,Danel,Heusch,9999-01-01,Senior Engineer
11732,Sanjoy,Ranft,9999-01-01,Senior Engineer
11733,Leszek,Sudbeck,9999-01-01,Senior Engineer
11735,Amalendu,Picci,9999-01-01,Senior Staff
11736,Shugo,Uchoa,9999-01-01,Senior Engineer
11737,Martina,Garnier,9999-01-01,Assistant Engineer
11746,Koichi,Marrakchi,9999-01-01,Senior Staff
11748,Lihong,Massonet,9999-01-01,Engineer
11751,Jiafu,Emiris,9999-01-01,Senior Staff
11756,Abdelwaheb,Vakili,9999-01-01,Engineer
11763,Yuriy,Liesche,9999-01-01,Engineer
11764,Sanjay,Anick,9999-01-01,Senior Engineer
11765,Zorica,Junet,9999-01-01,Senior Staff
11769,Chandrasekaran,Lampe,9999-01-01,Senior Staff
11770,Arumugam,Jakobus,9999-01-01,Senior Engineer
11772,Gaurav,Penz,9999-01-01,Engineer
11774,Aron,Wroclawski,9999-01-01,Engineer
11778,Dhritiman,Fontan,9999-01-01,Senior Engineer
11779,Shunichi,Thombley,9999-01-01,Staff
11791,Gal,Mamelak,9999-01-01,Senior Engineer
11797,Chenxi,Thambidurai,9999-01-01,Senior Staff
11801,Tommaso,Dayang,9999-01-01,Senior Staff
11807,Chriss,Binding,9999-01-01,Technique Leader
11810,Amabile,Bhattacharjee,9999-01-01,Senior Engineer
11811,Herb,Boissier,9999-01-01,Senior Staff
11817,Niranjan,Markovitch,9999-01-01,Senior Staff
11822,Sastry,Madeira,9999-01-01,Staff
11823,Weiyi,Iacovou,9999-01-01,Senior Engineer
11829,Chaosheng,Pettis,9999-01-01,Assistant Engineer
11832,Arto,Zlotek,9999-01-01,Engineer
11836,Ortrud,Bakhtari,9999-01-01,Senior Staff
11841,Elvia,Bugrara,9999-01-01,Staff
11842,Moto,Piazza,9999-01-01,Senior Staff
11844,Shawna,Demeyer,9999-01-01,Senior Engineer
11846,Fai,Perly,9999-01-01,Senior Engineer
11853,Zeljko,Kusakabe,9999-01-01,Senior Staff
11857,Divier,Farrag,9999-01-01,Senior Staff
11862,Alejandra,Deville,9999-01-01,Senior Engineer
11864,Pradeep,Kriebel,9999-01-01,Staff
11868,Kwee,Demke,9999-01-01,Engineer
11869,Fumino,Luca,9999-01-01,Engineer
11871,Nalini,Sommen,9999-01-01,Senior Engineer
11872,Cheong,Riexinger,9999-01-01,Senior Staff
11876,Leszek,Kobuchi,9999-01-01,Senior Engineer
11881,Arra,Staelin,9999-01-01,Senior Staff
11888,Badri,Azulay,9999-01-01,Senior Staff
11894,Mitchel,Validov,9999-01-01,Senior Engineer
11896,Shaunak,Benzmuller,9999-01-01,Technique Leader
11897,Cordelia,Setlzner,9999-01-01,Senior Staff
11906,Hideo,Boguraev,9999-01-01,Engineer
11911,Ashish,Mondadori,9999-01-01,Senior Engineer
11915,Miomir,Mawatari,9999-01-01,Senior Engineer
11917,Jiakeng,VanScheik,9999-01-01,Engineer
11926,Leni,Felcyn,9999-01-01,Engineer
11931,Gunilla,Chiodo,9999-01-01,Senior Staff
11933,Basil,Erman,9999-01-01,Senior Engineer
11938,Aruna,Verspoor,9999-01-01,Staff
11940,Ult,Anido,9999-01-01,Assistant Engineer
11944,Along,Aumann,9999-01-01,Senior Engineer
11945,Limsoon,Marakhovsky,9999-01-01,Staff
11948,Yahiko,Nergos,9999-01-01,Senior Engineer
11949,Martijn,Harbusch,9999-01-01,Technique Leader
11951,Bernt,Haumacher,9999-01-01,Senior Engineer
11965,Arup,Morrey,9999-01-01,Engineer
11972,Sibyl,Beausoleil,9999-01-01,Senior Staff
11980,Yechezkel,Pews,9999-01-01,Staff
11983,Jaana,Hedayat,9999-01-01,Senior Engineer
11989,Erzsebet,Peltason,9999-01-01,Technique Leader
11993,Marit,Dalphin,9999-01-01,Senior Staff
11994,Sigeru,Fiebach,9999-01-01,Senior Staff
12007,Marko,Dehkordi,9999-01-01,Senior Engineer
12011,Zhilian,Coorg,9999-01-01,Senior Staff
12015,Kensei,Guenter,9999-01-01,Staff
12021,Chikara,Rahimi,9999-01-01,Senior Engineer
12023,Chuanyi,Eppinger,9999-01-01,Technique Leader
12024,Mayumi,Lanzelotte,9999-01-01,Staff
12028,Ingemar,Walstra,9999-01-01,Senior Engineer
12030,Shuky,Cromarty,9999-01-01,Staff
12034,Aemilian,Piazza,9999-01-01,Staff
12036,Mads,Ratzlaff,9999-01-01,Senior Staff
12037,Arunas,Katzenelson,9999-01-01,Senior Staff
12040,Bluma,Kermarrec,9999-01-01,Senior Staff
12043,Masaki,Lubachevsky,9999-01-01,Staff
12044,Rance,Hemaspaandra,9999-01-01,Senior Engineer
12047,Jordanka,Ligten,9999-01-01,Assistant Engineer
12050,Yuchang,Tchuente,9999-01-01,Engineer
12053,Yechezkel,Pelc,9999-01-01,Senior Engineer
12054,Odysseas,Braccini,9999-01-01,Staff
12060,Toshimi,Antonakopoulos,9999-01-01,Technique Leader
12062,Margareta,Worfolk,9999-01-01,Senior Staff
12063,Lein,Bale,9999-01-01,Senior Engineer
12069,Ayonca,Burnard,9999-01-01,Senior Engineer
12070,Ger,Shokrollahi,9999-01-01,Technique Leader
12076,Karlis,Siprelle,9999-01-01,Senior Staff
12080,Panayotis,Feinberg,9999-01-01,Senior Staff
12082,Xinan,Yamaashi,9999-01-01,Senior Staff
12089,Bilhanan,Socorro,9999-01-01,Senior Staff
12090,Shigenori,Angelopoulos,9999-01-01,Engineer
